job_id,case_id,tap,status,reference_class,audio_sha256,cache_key,source_frames,delivered_frames,source_seconds,elapsed_seconds,session_event_rows,archive_event_rows,clock_rows,transcript_event_rows,latest_utterances,caption_rows,unique_word_spans,duplicate_span_ids,span_speaker_revisions_after_first,span_missing_first_label,span_missing_committed_label,exact_word_times,observed_clock_order_violations,raw_asr_fields,formatted_final_fields,raw_formatted_differing_fields,optional_corrected_fields,text_partial_events,text_final_events,label_revision_decisions,asr_loads_process_cumulative,speaker_loads_process_cumulative,source_history_reset,private_gallery_queries,wer_reference_words,wer_edits,wer,wer_status
N1_BASELINE_S45_01_04_O0,S45_01_04,O0,COMPLETE,complete_nonoverlap,b62a9af84ec19fc9bb6aba66026d97feb357d1f549eab5459dd53a743266e004,3694adc8bddb82af0eea9de0a009b74557bb2c4aceb983ab013bfcf97cfd8c48,715127,715127,44.6954375,48.452999999999975,256,2562,544,3,3,15,32,0,0,0,0,0,0,15,15,15,0,25,3,14,1,1,True,0,32,2,0.0625,DESCRIPTIVE_COMPLETE_NONOVERLAP_ONLY
N1_BASELINE_S45_01_04_O1,S45_01_04,O1,COMPLETE,complete_nonoverlap,db418ef0d0e79a59a1d29af6a38ab947da8318519eb093caee0b5e903fdeb3af,2247edd8aa638ddcc5370b94d163ddfc4974292db5d8a91b09408303b2825026,715127,715127,44.6954375,48.483999999999924,392,2568,542,3,3,17,32,0,0,0,0,0,0,17,17,17,0,25,3,19,1,1,True,0,32,2,0.0625,DESCRIPTIVE_COMPLETE_NONOVERLAP_ONLY
N1_BASELINE_S45_01_07_O0,S45_01_07,O0,COMPLETE,complete_nonoverlap,8a8080c327d5bf70ef0e7616a36befe995eff6bbdfbdb32b74332569c70dcc31,f952333c3da9e9b6dcacccc4ee0ea5b27c1391d561f58933517ea343e69b9b80,715127,715127,44.6954375,48.28099999999995,29,2530,475,3,3,17,21,0,0,0,0,0,0,17,17,16,0,27,3,10,1,1,True,0,25,9,0.36,DESCRIPTIVE_COMPLETE_NONOVERLAP_ONLY
N1_BASELINE_S45_01_07_O1,S45_01_07,O1,COMPLETE,complete_nonoverlap,61169f9875d8d4df967348239a88c1f9f4134f0528f6f5c1289401a1566e020e,311de8ffc60a76f5cefe6797557353a963df4591ad49e267bad0c44b3c2bf098,715127,715127,44.6954375,48.233999999999924,266,2583,590,3,3,13,19,0,0,0,0,0,0,13,13,13,0,24,3,17,1,1,True,0,25,8,0.32,DESCRIPTIVE_COMPLETE_NONOVERLAP_ONLY
N1_BASELINE_S45_01_16_O0,S45_01_16,O0,COMPLETE,complete_nonoverlap,28998833fde4a079dbd5ba140c276d7a160ac9ca5be0dead7493084d31365ac8,61f295d6916807b5af7bfd1a0b5631a1341b349f624886050b205c600711bf4f,715127,715127,44.6954375,45.54599999999982,185,2573,595,3,3,16,27,0,0,0,0,0,0,16,16,16,0,25,3,25,1,1,True,0,28,5,0.17857142857142858,DESCRIPTIVE_COMPLETE_NONOVERLAP_ONLY
N1_BASELINE_S45_01_16_O1,S45_01_16,O1,COMPLETE,complete_nonoverlap,3a098bee7f44119888cf56ea44dd38cbb41da65f6beddfc98643b5e281d0a396,a27693153e876e52a64c8a40ee5e1ca8d963292e868816fdae796c60efe111e6,715127,715127,44.6954375,45.34400000000005,241,2563,554,3,3,18,27,0,0,0,0,0,0,18,18,18,0,26,3,18,1,1,True,0,28,5,0.17857142857142858,DESCRIPTIVE_COMPLETE_NONOVERLAP_ONLY
N1_BASELINE_S45_01_20_O0,S45_01_20,O0,COMPLETE,complete_nonoverlap,f08969906c52bc8b3642c0a7ce8005e36f35360917211fab0c806151838b65c7,43b4f82b81d5c43a3a9a2251ee29761931980767316165905bfd4d959ff1ed00,715127,715127,44.6954375,45.327999999999975,30,2721,736,3,3,20,33,0,0,0,0,0,0,20,20,20,0,40,3,25,1,1,True,0,33,1,0.030303030303030304,DESCRIPTIVE_COMPLETE_NONOVERLAP_ONLY
N1_BASELINE_S45_01_20_O1,S45_01_20,O1,COMPLETE,complete_nonoverlap,21192710164a2e833ead1505059e2ee12d02b83d1c62067ec418b03d66cffd49,f7711cca5bbedc77d539d1c4587b7ba784df598a56c9e02f6f629f5652f1d7c2,715127,715127,44.6954375,45.34400000000005,178,2734,755,3,3,23,33,0,0,0,0,0,0,23,23,23,0,40,3,30,1,1,True,0,33,1,0.030303030303030304,DESCRIPTIVE_COMPLETE_NONOVERLAP_ONLY
N1_BASELINE_S45_02_08_O0,S45_02_08,O0,COMPLETE,complete_nonoverlap,838032ef24eac27b082740aef95498ae7267d27bd92cf607d1cf52353206c935,062b2bc88c2b9a4e23a5c167408e54c529bc7c990c030ba342d377fa9845b4bc,715127,715127,44.6954375,45.3130000000001,366,2785,824,4,4,26,45,0,0,0,0,0,0,26,26,25,0,45,4,28,1,1,True,0,45,2,0.044444444444444446,DESCRIPTIVE_COMPLETE_NONOVERLAP_ONLY
N1_BASELINE_S45_02_08_O1,S45_02_08,O1,COMPLETE,complete_nonoverlap,3d4654d0dc177d70373b86db48f9a516ace4f58cb7819196a5127bebf2e9cae8,026de37dedb55bf1c112eb0c2aedc4c5eff1607c65aee1cff52ec16dbe00e089,715127,715127,44.6954375,45.3119999999999,292,2774,802,4,4,25,45,0,0,0,0,0,0,25,25,24,0,44,4,26,1,1,True,0,45,2,0.044444444444444446,DESCRIPTIVE_COMPLETE_NONOVERLAP_ONLY
