profile,asr,diarization,embedding,punctuation,implementation,manifest_id,required,completed,failed,incompatible,not_tested,status,deployment_tier
A0_D0_E0,A0,D0,E0,P0,WIRED_MODEL_FREE_CHECK_PASSED,sha256:1a6be7490786a81d971c19ad35572b8c13c30993f7b8a7c1903f4b0617b6b1b5,480,0,0,0,480,NOT_TESTED,UNKNOWN
A0_D0_E1,A0,D0,E1,P0,WIRED_MODEL_FREE_CHECK_PASSED,sha256:2d1bb8c33a075294877cc92af1e78bcc01a3e9164c1c69c2417e038eadc28c4e,480,0,0,0,480,NOT_TESTED,UNKNOWN
A0_D1_E0,A0,D1,E0,P0,WIRED_MODEL_FREE_CHECK_PASSED,sha256:2cae7524dc49970f0492bd38d9fd8584609d07bbc83ea36bf0efd9355a154fe1,480,0,0,0,480,NOT_TESTED,UNKNOWN
A0_D1_E1,A0,D1,E1,P0,WIRED_MODEL_FREE_CHECK_PASSED,sha256:8ae4679a5f922ef5aa84a632f8de20868227cdb73aaaadc515955940813a0ff9,480,0,0,0,480,NOT_TESTED,UNKNOWN
A1_D0_E0,A1,D0,E0,P0,NOT_IMPLEMENTED,intended-sha256:d610e69131a787d952445be5c2364d5b370f6e3d8fd90e2594972fc0abe5a6f1,480,0,0,0,480,NOT_TESTED,UNKNOWN
A1_D0_E1,A1,D0,E1,P0,NOT_IMPLEMENTED,intended-sha256:9a606253503992ce5ad819c52a32559d5b3c09fff04ee43d75d6e1a9eb6f6f85,480,0,0,0,480,NOT_TESTED,UNKNOWN
A1_D1_E0,A1,D1,E0,P0,NOT_IMPLEMENTED,intended-sha256:76528ff9d92a73745043e797e1960973dcec846a9a20eaefc77bc39b7e5eeecd,480,0,0,0,480,NOT_TESTED,UNKNOWN
A1_D1_E1,A1,D1,E1,P0,NOT_IMPLEMENTED,intended-sha256:0db60bf97491ccb281ff1d9703e922c7c00001ddab1f207a39697bd9f9b62877,480,0,0,0,480,NOT_TESTED,UNKNOWN
A2_D0_E0,A2,D0,E0,P1_native,WIRED_MODEL_FREE_CHECK_PASSED,sha256:8ce72e57141be90ceb61d23c57a8117629b456459a1764543107d3df52b5590d,480,0,0,0,480,NOT_TESTED,UNKNOWN
A2_D0_E1,A2,D0,E1,P1_native,WIRED_MODEL_FREE_CHECK_PASSED,sha256:00df49f2b0a34134cc3e9750cfc61eba103426dddb9099754bfcc71f1afda912,480,0,0,0,480,NOT_TESTED,UNKNOWN
A2_D1_E0,A2,D1,E0,P1_native,WIRED_MODEL_FREE_CHECK_PASSED,sha256:377262016bfd68f234f1ee5fd18a478ac31917f4c55b9253c0ececf0f6e4b8e4,480,0,0,0,480,NOT_TESTED,UNKNOWN
A2_D1_E1,A2,D1,E1,P1_native,WIRED_MODEL_FREE_CHECK_PASSED,sha256:b6f509f9f55b3948aec7ed609de42efc6616ae84abf565f85b37da9d59a8c747,480,0,0,0,480,NOT_TESTED,UNKNOWN
A3_D0_E0,A3,D0,E0,P1_native,WIRED_MODEL_FREE_CHECK_PASSED,sha256:e991821f0dceb2cdf5a7341bbf67fef35bbdaa6b23f2176d0f4a717c088e673b,480,0,0,0,480,NOT_TESTED,UNKNOWN
A3_D0_E1,A3,D0,E1,P1_native,WIRED_MODEL_FREE_CHECK_PASSED,sha256:97b48583060de315ff410498fc13d05c5e302053a033263152b9c8b3afea9851,480,0,0,0,480,NOT_TESTED,UNKNOWN
A3_D1_E0,A3,D1,E0,P1_native,WIRED_MODEL_FREE_CHECK_PASSED,sha256:b227e30c880b67cd2d990c13944ad0408e00164019b86a6820b5ee15c410427f,480,0,0,0,480,NOT_TESTED,UNKNOWN
A3_D1_E1,A3,D1,E1,P1_native,WIRED_MODEL_FREE_CHECK_PASSED,sha256:896a22fbdf5164e6dfb025b028cef867086cb4c1a0c111b1b49379325566d8d1,480,0,0,0,480,NOT_TESTED,UNKNOWN
